text,intent
"dear team, i expected better handling since yesterday this needs urgent attention",complaint
i am writing to inform you that this needs immediate attention on multiple occasions please look into this,complaint
"hello, i want this issue escalated for the past few days requesting your assistance",complaint
i am disappointed to inform that this needs immediate attention since yesterday this needs urgent attention,complaint
i am disappointed to inform that this matter requires urgent resolution after the recent update,complaint
"dear team, this did not meet my expectations during working hours",complaint
"dear team, this issue keeps happening since yesterday",complaint
i am disappointed to inform that this is unacceptable,complaint
this issue keeps happening since yesterday,complaint
please note that this matter requires urgent resolution on multiple occasions please look into this,complaint
please note that this issue keeps happening please look into this,complaint
i am not satisfied with the service after the recent update,complaint
i am writing to inform you that this needs immediate attention for the past few days requesting your assistance,complaint
"hi support team, i am extremely unhappy with this",complaint
"dear team, i am surprised this is still unresolved since yesterday requesting your assistance",complaint
i am disappointed to inform that this matter requires urgent resolution since yesterday,complaint
i am disappointed to inform that i want this issue escalated since yesterday requesting your assistance,complaint
"dear team, i am not satisfied with the service for the past few days requesting your assistance",complaint
please note that this is unacceptable on multiple occasions,complaint
"hi support team, i am fed up with this issue after the recent update please look into this",complaint
please note that i am surprised this is still unresolved during working hours requesting your assistance,complaint
i am disappointed to inform that this matter requires urgent resolution after the recent update please look into this,complaint
"hello, this has been very frustrating after the recent update requesting your assistance",complaint
this has been very frustrating for the past few days please look into this,complaint
i am disappointed to inform that this problem has occurred again after the recent update this needs urgent attention,complaint
i am writing to inform you that this needs immediate attention,complaint
"dear team, this problem has occurred again for the past few days this needs urgent attention",complaint
this has been very frustrating,complaint
please note that this is unacceptable for the past few days please look into this,complaint
"hi support team, i am not satisfied with the service since yesterday",complaint
"hello, this problem has occurred again on multiple occasions",complaint
i am not satisfied with the service since yesterday requesting your assistance,complaint
"hi support team, i am fed up with this issue since yesterday requesting your assistance",complaint
i am disappointed to inform that this problem has occurred again after the recent update requesting your assistance,complaint
i am writing to inform you that i want this issue escalated since yesterday please look into this,complaint
i am writing to inform you that this needs immediate attention during working hours requesting your assistance,complaint
"dear team, i want this issue escalated since yesterday",complaint
i am disappointed to inform that this problem has occurred again for the past few days,complaint
"hi support team, i am extremely unhappy with this since yesterday requesting your assistance",complaint
"hello, this has been very frustrating during working hours this needs urgent attention",complaint
"hi support team, this has been very frustrating during working hours",complaint
