text,intent
i would like to inform you that i expected better handling which is quite disappointing your help would be appreciated,complaint
"hello team, i am fed up with this issue for quite some time now your help would be appreciated",complaint
"hi, this did not meet my expectations this afternoon please advise on next steps",complaint
"hi support team, this matter requires urgent resolution on multiple devices kindly assist",complaint
"to whom it may concern, i am surprised this is still unresolved as mentioned previously requesting further guidance",complaint
"good evening, i am fed up with this issue which is concerning awaiting your response",complaint
"dear team, i am extremely unhappy with this during an important task this is time-sensitive",complaint
"to whom it may concern, i want this issue escalated after system changes please look into this",complaint
this is to bring to your attention that this issue keeps happening which is concerning please look into this,complaint
"hello team, i am not satisfied with the service awaiting your response",complaint
i am really concerned that i am surprised this is still unresolved for quite some time now please escalate this if required,complaint
this is to bring to your attention that this needs immediate attention on multiple devices please look into this,complaint
i would like to inform you that this issue keeps happening after the recent update this is time-sensitive,complaint
i am really concerned that this did not meet my expectations during an important task please address this at the earliest,complaint
i wish to report that this has been very frustrating repeatedly this needs urgent attention,complaint
this is to bring to your attention that this matter requires urgent resolution which is unexpected your help would be appreciated,complaint
"hello, i am not satisfied with the service as mentioned previously requesting your assistance",complaint
"respected support team, this has been very frustrating as mentioned previously this is time-sensitive",complaint
i want this issue escalated and it is becoming urgent requesting your assistance,complaint
"hi team, i am extremely unhappy with this which is concerning this is time-sensitive",complaint
just wanted to let you know that this matter requires urgent resolution which is concerning requesting further guidance,complaint
i am writing to inform you that this issue keeps happening on multiple occasions,complaint
i wish to report that this issue keeps happening after the recent update this needs urgent attention,complaint
"good morning, i am not satisfied with the service on my work system please look into this",complaint
just wanted to let you know that this is unacceptable on my work system,complaint
"hi team, i am not satisfied with the service on multiple devices",complaint
i would like to inform you that this did not meet my expectations during office hours your help would be appreciated,complaint
i am disappointed to inform that i am extremely unhappy with this since yesterday requesting immediate resolution,complaint
"to whom it may concern, i expected better handling while working remotely your help would be appreciated",complaint
just wanted to let you know that i want this issue escalated while working remotely please take the necessary action,complaint
"to whom it may concern, this issue keeps happening which is unexpected please take the necessary action",complaint
"good evening, this did not meet my expectations and it needs immediate attention requesting your assistance",complaint
please note that this is unacceptable this morning this needs urgent attention,complaint
"hey team, this did not meet my expectations several times already please address this at the earliest",complaint
"dear team, i am surprised this is still unresolved this morning i would appreciate a prompt resolution",complaint
"to whom it may concern, this needs immediate attention earlier today looking forward to your response",complaint
"to whom it may concern, this has been very frustrating after system changes looking forward to your response",complaint
this is to bring to your attention that i expected better handling which is unexpected requesting further guidance,complaint
"hi, i am not satisfied with the service on multiple devices looking forward to your response",complaint
i am disappointed to inform that this has been very frustrating since yesterday i would appreciate a prompt resolution,complaint
i would like to inform you that this issue keeps happening earlier today please escalate this if required,complaint
this is to bring to your attention that i am surprised this is still unresolved during office hours kindly assist,complaint
