text,reply
"Hi I am vishvas i need leave for monday.","Leave request received.\nCurrently under review.\nDecision will be communicated."
"The internet is not working since yesterday!!","Connectivity issue noted.\nTechnical team assigned.\nInvestigation in progress."
"Great service, thank you so much!","Positive feedback received.\nAppreciation noted.\nThank you."
"My salary is wrong this month pls check","Salary query received.\nPayroll department reviewing.\nClarification in process."
"Package not delivered yet, order #45678","Concern received.\nMatter under review.\nInvestigation in progress."
"How can I update my email address?","Account update request logged.\nRelevant team reviewing.\nAssistance in progress."
"I forgot my password please help","Password reset request received.\nVerification in progress.\nRecovery steps underway."
"The product arrived damaged","Damage report noted.\nQuality team examining.\nResolution steps initiated."
"Thank you for fast delivery","Positive delivery feedback received.\nAppreciation noted.\nThank you."
"Can you send invoice for last month?","Invoice request received.\nRecords under review.\nDocument preparation underway."
"Order #98765 is missing one item","Missing item report logged.\nOrder details checking.\nAppropriate action in progress."
"Please cancel my subscription","Cancellation request received.\nProcess under review.\nConfirmation will follow."
"Your app is crashing on login","Login crash reported.\nTechnical team assigned.\nTroubleshooting underway."
"I want to return the item I bought yesterday","Return request noted.\nPolicy checking in progress.\nFurther steps initiated."
"Excellent support team helped me quickly","Positive support experience received.\nFeedback appreciated.\nThank you."
"Bill amount is higher than expected","Billing query received.\nDetails under examination.\nClarification in process."
"Can you add a new payment method?","Payment method update request logged.\nVerification in progress.\nUpdate underway."
"The website is showing error 404","Website error reported.\nTechnical team reviewing.\nResolution in progress."
"Please confirm my appointment for tomorrow","Appointment confirmation request received.\nSchedule under review.\nStatus update follows."
"Love the new features in the update","Positive feature feedback noted.\nAppreciation recorded.\nThank you."
"Hi team, can I get 2 days off next week?","Leave application received.\nReview process started.\nOutcome will follow."
"Internet speed is very slow today","Network performance concern logged.\nTechnical investigation underway.\nUpdate preparation in progress."
"Amazing product quality, 5 stars!","Positive product feedback received.\nGratitude noted.\nThank you."
"Salary slip for December is missing","Salary document request received.\nRecords checking.\nDelivery in process."
"Item is out of stock when I try to buy","Stock availability query noted.\nInventory under review.\nInformation forthcoming."
"Refund not received after return","Refund status inquiry received.\nTransaction details examining.\nResolution steps underway."
"Can you change delivery address?","Delivery address update request logged.\nVerification in progress.\nChange processing."
"App keeps logging me out","Session issue reported.\nTechnical team assigned.\nFix investigation in progress."
"Thank you for quick resolution","Positive resolution feedback received.\nAppreciation recorded.\nThank you."
"Where is my refund status?","Refund tracking request received.\nStatus under review.\nUpdate preparation underway."
"Please extend my trial period","Trial extension request noted.\nPolicy checking.\nDecision process started."
"Product color is different from photo","Product discrepancy reported.\nQuality verification underway.\nAppropriate action in progress."
"Excellent customer care service","Positive service experience logged.\nFeedback valued.\nThank you."
"Overcharged on my last bill","Overcharge concern received.\nBilling records examining.\nAdjustment in process."
"Need help setting up two-factor auth","Security setup request logged.\nGuidance preparation underway.\nAssistance in progress."
"Login page not loading","Access issue noted.\nTechnical team reviewing.\nResolution steps initiated."
"Very happy with the fast support","Positive support speed feedback received.\nGratitude noted.\nThank you."
"Can I upgrade my plan?","Plan upgrade request received.\nOptions under review.\nDetails forthcoming."
"Parcel returned to sender why?","Return to sender report logged.\nReason investigation in progress.\nClarification underway."
"Please approve my leave from 15th to 20th","Leave request submitted.\nApproval process started.\nDecision will be shared."
"WiFi connection drops frequently","Connection stability issue reported.\nNetwork team reviewing.\nFix in progress."
"Best purchase experience ever!","Positive shopping feedback received.\nAppreciation noted.\nThank you."
"Payroll deduction seems incorrect","Deduction query received.\nPayroll team examining.\nAdjustment review underway."
"Can I track my shipment status?","Shipment tracking request noted.\nStatus checking in progress.\nUpdate will follow."
"Return window expired but item defective","Return exception request received.\nPolicy review started.\nDecision forthcoming."
"Please update my contact number","Contact update request logged.\nVerification in progress.\nChange processing."
"Mobile app not opening","App access issue reported.\nTechnical team assigned.\nInvestigation underway."
"Thank you for resolving my issue fast","Positive resolution feedback noted.\nGratitude recorded.\nThank you."
"Subscription renewed without consent","Unauthorized renewal concern received.\nBilling review in progress.\nResolution steps initiated."
"Need technical support for software","Software support request received.\nTeam assigned.\nAssistance in progress."
"Product description was misleading","Description accuracy concern noted.\nReview process started.\nClarification underway."
"Outstanding service quality","Positive service feedback received.\nAppreciation valued.\nThank you."
"Tax calculation error in invoice","Tax query received.\nInvoice details checking.\nCorrection in process."
"Want to enable notifications","Notification setting request logged.\nConfiguration review underway.\nUpdate in progress."
"Server down for maintenance?","Server status inquiry received.\nSystem team checking.\nInformation forthcoming."
"Really impressed with the team","Positive team feedback noted.\nGratitude recorded.\nThank you."
"Can I change billing cycle?","Billing cycle update request received.\nOptions under review.\nChange processing."
"Delivery attempted but no one home","Delivery attempt noted.\nRescheduling in progress.\nNew attempt will follow."
"Requesting 3 days casual leave","Casual leave application received.\nReview process started.\nApproval status update follows."
"Broadband not working since morning","Broadband outage reported.\nTechnical team dispatched.\nRestoration in progress."
"Superb user interface design","Positive UI feedback received.\nAppreciation noted.\nThank you."
"Bonus not reflected in salary","Bonus query received.\nPayroll records examining.\nClarification in process."
"Where can I see order history?","Order history access request noted.\nAccount review underway.\nGuidance forthcoming."
"Item received in wrong size","Size mismatch report logged.\nExchange process started.\nResolution in progress."
"Please update my profile picture","Profile update request received.\nVerification in progress.\nChange processing."
"Payment gateway error during checkout","Payment issue reported.\nTechnical team reviewing.\nFix underway."
"Thanks for excellent customer support","Positive support feedback received.\nGratitude valued.\nThank you."
"Auto debit failed this month","Payment failure noted.\nBilling team checking.\nResolution steps initiated."
"Need API documentation access","API access request logged.\nPermission review in progress.\nApproval forthcoming."
"Packaging was damaged on arrival","Packaging concern received.\nQuality team examining.\nAppropriate action underway."
"Very satisfied with product performance","Positive performance feedback noted.\nAppreciation recorded.\nThank you."
"Discount code not working","Discount issue reported.\nCode validation in progress.\nResolution in process."
"Want to add family member to plan","Plan member addition request received.\nVerification underway.\nUpdate in progress."
"Email notifications stopped","Notification delivery issue noted.\nSettings review started.\nFix in progress."
"Happy with overall experience","Positive overall feedback received.\nGratitude noted.\nThank you."
"Can I transfer my account?","Account transfer request logged.\nPolicy checking.\nProcess in progress."
"Tracking shows delivered but not received","Delivery discrepancy reported.\nInvestigation started.\nResolution underway."
"Applying for sick leave tomorrow","Sick leave request received.\nReview process initiated.\nStatus update follows."
"Fiber connection unstable","Fiber stability concern logged.\nTechnical team assigned.\nInvestigation in progress."
"Beautiful design and functionality","Positive design feedback received.\nAppreciation valued.\nThank you."
"Provident fund contribution missing","PF query received.\nRecords examining.\nClarification in process."
"Please provide user manual","Manual request noted.\nDocument preparation underway.\nDelivery forthcoming."
"Exchange approved but no pickup","Exchange logistics issue reported.\nScheduling review in progress.\nUpdate follows."
"Please change registered email","Email change request received.\nVerification in progress.\nUpdate processing."
"Software update failed","Update failure reported.\nTechnical team reviewing.\nSolution in progress."
"Thank you for prompt assistance","Positive assistance feedback noted.\nGratitude recorded.\nThank you."
"Multiple charges on statement","Duplicate charge concern received.\nTransaction review started.\nRefund process initiated."
"Requesting developer account","Developer access request logged.\nApproval review in progress.\nStatus forthcoming."
"Item description not matching","Description mismatch noted.\nContent team examining.\nCorrection underway."
"Exceptional quality and service","Positive quality feedback received.\nAppreciation noted.\nThank you."
"Promo offer not applied","Promotion issue reported.\nEligibility checking.\nAdjustment in process."
"Need to update shipping preferences","Shipping update request received.\nProfile review underway.\nChange in progress."
"Push notifications not arriving","Notification issue noted.\nSettings examination started.\nResolution underway."
"Smooth and pleasant experience","Positive experience feedback received.\nGratitude valued.\nThank you."
"Can I merge two accounts?","Account merge request logged.\nVerification process started.\nDecision forthcoming."
"Order stuck in processing","Order status concern received.\nSystem checking.\nUpdate in progress."
"Requesting emergency leave","Emergency leave application received.\nPriority review started.\nResponse will follow."
"Mobile data not working","Mobile data issue reported.\nNetwork team investigating.\nRestoration in progress."
"Elegant and user-friendly","Positive usability feedback noted.\nAppreciation recorded.\nThank you."
